id,area
TV1306,70.3125
51C0051,44.921875
TVS103a,30.859375
TV1118,22.265625
MB0018,14.84375
PV0002,8.203125
TV2260,3.515625
51C0009,1.171875
TV1520,0.390625
TV1119,0.390625
TV2789,0
51C0006,NA
51C0007,NA
51C0010,NA
51C0052,NA
51C0053,NA
51C0054,NA
51C0055,NA
51C0056,NA
51C0057,NA
51C0061,NA
51C0063,NA
51C0064,NA
51C0065,NA
51C0068,NA
51C0001,NA
51C0005,NA
51C0008,NA
51C0012,NA
51C0050,NA
51C0059,NA
51C0060,NA
51C0062,NA
51C0066,NA
HS0101,NA
HS0102,NA
HS0103,NA
HS0106,NA
HS0108,NA
HS0109,NA
HS0110,NA
HS0112,NA
HS0114,NA
HS0154,NA
HS0174,NA
HS0176,NA
HS0178,NA
HS0180,NA
HS0182,NA
HS0184,NA
HS0186,NA
HS0188,NA
HS0192,NA
HS0194,NA
HS0196,NA
HS0198,NA
HS0202,NA
HS0206,NA
HS0208,NA
HS0210,NA
HS0212,NA
HS0251,NA
HS0252,NA
HS0253,NA
HS0254,NA
HS0256,NA
HS0257,NA
HS0258,NA
HS0259,NA
HS0260,NA
HS0304,NA
HS0306,NA
PV0003,NA
PV0004,NA
PV0007,NA
PV0008,NA
PV0010,NA
PV0012,NA
TV0480,NA
TV0658,NA
TV0893,NA
TV0895,NA
TV0899,NA
TV1134,NA
TV1161,NA
TV1165,NA
TV1179,NA
TV1183,NA
TV1185,NA
TV1189,NA
TV1219,NA
TV1221,NA
TV1229,NA
TV1283,NA
TV1517,NA
TV0369,NA
TV0399,NA
TV0400,NA
TV0516,NA
TV0532,NA
TV0537,NA
TV0545,NA
TV0571,NA
TV0574,NA
TV0575,NA
TV0576,NA
TV0582,NA
TV0586,NA
TV0600,NA
TV0610,NA
TV0720,NA
TV0795,NA
TV0907,NA
TV0952,NA
TV0976,NA
TV0977,NA
TV1095,NA
TV1132,NA
TV1136,NA
TV1137,NA
TV1141,NA
TV1147,NA
TV1151,NA
TV1162,NA
TV1172,NA
TV1174,NA
TV1178,NA
TV1180,NA
TV1184,NA
TV1186,NA
TV1193,NA
TV1194,NA
TV1196,NA
TV1218,NA
TV1225,NA
TV1227,NA
TV1230,NA
TV1239,NA
TV1243,NA
TV1244,NA
TV1246,NA
TV1249,NA
TV1251,NA
TV1255,NA
TV1257,NA
TV1258,NA
TV1261,NA
TV1263,NA
TV1265,NA
TV1267,NA
TV1271,NA
TV1289,NA
TV1297,NA
TV1303,NA
TV1304,NA
TV1318,NA
TV1320,NA
TV1323,NA
TV1327,NA
TV1329,NA
TV1331,NA
TV1333,NA
TV1340,NA
TV1341,NA
TV1343,NA
TV1344,NA
TV1348,NA
TV1354,NA
TV1355,NA
TV1370,NA
TV1402,NA
TV1405,NA
TV1409,NA
TV1410,NA
TV1412,NA
TV1416,NA
TV1417,NA
TV1421,NA
TV1423,NA
TV1431,NA
TV1500,NA
TV1501,NA
TV1502,NA
TV1504,NA
TV1505,NA
TV1506,NA
TV1507,NA
TV1509,NA
TV1511A,NA
TV1513,NA
TV1514,NA
TV1515,NA
TV1516,NA
TV1519,NA
TV1521,NA
TV2001,NA
TV2002,NA
TV2007,NA
TV2011,NA
TV2012,NA
TV2013,NA
TV2021,NA
TV2022,NA
TV2023,NA
TV2025,NA
TV2028,NA
TV2029,NA
TV2030,NA
TV2038,NA
TV2040,NA
TV2041,NA
TV2043,NA
TV2046,NA
TV2047,NA
TV2048,NA
TV2049,NA
TV2051,NA
TV2054,NA
TV2064,NA
TV2070,NA
TV2077,NA
TV2079,NA
TV2084,NA
TV2086,NA
TV2087,NA
TV2251,NA
TV2255,NA
TV2256,NA
TV2263,NA
TV2264,NA
TV2265,NA
TV2266,NA
TV2267,NA
TV2269,NA
TV2274,NA
TV2276,NA
TV2279,NA
TV2280,NA
TV2287,NA
TV2292,NA
TV2294,NA
TV2297,NA
TV2305,NA
TV2505,NA
TV2512,NA
TV2754,NA
TV2763,NA
TV2767,NA
TV2768,NA
TV2769,NA
TV2778,NA
TV2779,NA
TV2780,NA
TV2793,NA
TV2801,NA
TV2811,NA
MB0001,NA
MB0003,NA
MB0008,NA
MB0012,NA
MB0014,NA
MB0016,NA
MB0017,NA
MB0019,NA
MB0020,NA
MB0021,NA
MB0023,NA
MB0024,NA
MB0025,NA
MB0112,NA
MB0120,NA
MB0121,NA
MB0122,NA
MB0123,NA
MB0124,NA
MB0125,NA
MB0128,NA
MB0004,NA
MB0005,NA
MB0006,NA
MB0007,NA
MB0009,NA
MB0010,NA
MB0011,NA
MB0013,NA
MB0022,NA
MR0001,NA
MR0002,NA
MR0004,NA
MR0006,NA
MR0007,NA
MR0009,NA
MR0016,NA
MR0022,NA
MR0026,NA
MR0028,NA
MR0031,NA
MR0040,NA
MR0042,NA
MR0043,NA
MR0050,NA
MR0053,NA
MR0054,NA
MR0055,NA
MR0058,NA
MR0062,NA
MR0064,NA
TVS0202,NA
TVS0203,NA
TVS0206,NA
TVS0208,NA
TVS0210,NA
TVS101a,NA
TVS102a,NA
TVS0204,NA
TVS0205,NA
TVS0207,NA
TVS0209,NA
TVS0211,NA
