id,area
WKY2,73.61248952406157
SWC18,56.28914692779322
BEL3,40.57965021392969
SGR4,32.61159631246968
HAM102,24.923360239954125
16_CTA_26_N1,19.238509549644924
PCL3,15.119260288474262
16_KFC_30_N1,11.251433549468484
16_AMS_10_N1_B,7.912366018261214
NKL2,5.2076441268581
03_V153408_N2,2.515879317189361
16_SDP_32_N1,1.620462264567068
00_ATT_N3,0.8697785717436372
IM6,0.6238697013806184
MUG1,0.4154536632702571
WPV2,0.2144810550924088
16_VPT_3_N1,0.07884522076661815
BCB21,0.05210400952759031
TSG21,0.03060076750033082
YJS4,0.013784129504653523
02_V142998_7_N2,0.0049622866216752675
16_PTL_7_F,0
CAT11,NA
16_ICY_901_N1,NA
THR21,NA
16_PTR_5_N1,NA
16_ALP_117_N1,NA
RGR15,NA
16_KCG_61_N1,NA
OSW25,NA
IM10,NA
NKL15,NA
HOC25,NA
LCC2,NA
FRC1,NA
YJS3,NA
HOC26,NA
CDR5,NA
16_PEW_2_D,NA
16_PTR_6_N1,NA
IHR20,NA
16_SDP_24_N1,NA
16_PTL_302_N2,NA
16_VPT_5_N1,NA
16_UGC_2_N1,NA
16_LAU_9_N1,NA
MIY3,NA
16_SZA_88_N1,NA
BCB30,NA
16_FPA_22_N1,NA
ORO24,NA
KIC3,NA
SVH2,NA
WTB18,NA
KAP1,NA
16_MFM_200_N1,NA
16_UNA_3_N1,NA
SGR2,NA
LMC17,NA
TRR1,NA
TRR2,NA
SKZ6,NA
TBR2,NA
16_PTL_7_E,NA
MCB3,NA
13_VFC_4_N2,NA
CAC2,NA
16_DCR_9_N1,NA
FRC3,NA
16_FOS_4_N1,NA
16_KFC_19_N1,NA
16_OSO_2_N1,NA
16_VAT_6_N1,NA
16_SLS_48_N1,NA
CDR4,NA
16_EBR_63_N1,NA
BEL4,NA
16_SDP_6_N1,NA
NFE1,NA
16_PEW_2_E,NA
FHS1,NA
16_UNA_2_N1,NA
16_ANT_106_N1,NA
BSR132,NA
SCS2,NA
16_PTL_7_D,NA
ORO55,NA
16_VCC_2_N1,NA
SVH4,NA
SCS1,NA
MED3,NA
FRC2,NA
EAF2,NA
CAN68,NA
16_ZEN_4_N1,NA
16_SLS_47_N1,NA
IHR8,NA
BOG5,NA
SWC17,NA
TSG24,NA
CLC2,NA
02_V142998_7_N1,NA
WKY1,NA
BSR131,NA
STB18,NA
HEC23,NA
16_PTR_8_N1,NA
SWC24,NA
CVG10,NA
KIC1,NA
16_KCG_10_N1,NA
16_KFC_5_N1,NA
16_AKC_41_N1,NA
WMO3,NA
RFA3,NA
13_VFC_2_N1,NA
MUG3,NA
16_AMS_32_N1,NA
TSG25,NA
OSW13,NA
03_V153408_N1,NA
ORO31,NA
16_UNA_1_N1,NA
16_PTR_5_A3,NA
02_V142998_3_N1,NA
00_ATT_N2,NA
PCL20,NA
BCB28,NA
MIY1,NA
16_VPT_4_N1,NA
NOF1,NA
16_SZA_86_N1,NA
WKY3,NA
TRR3,NA
FGP3,NA
SWB36,NA
16_PTL_302_N1,NA
16_SLS_46_N1,NA
16_FOS_2_N1,NA
KLM25,NA
CRZ1,NA
16_VAT_5_N1,NA
16_UGC_1_N1,NA
SKZ27,NA
BSR21,NA
16_VCC_4_N1,NA
16_VAL_13_N1,NA
16_DCR_10_N1,NA
16_CTA_28_N1,NA
ASK5,NA
SHC2,NA
ORO20,NA
OZF9,NA
M2L4,NA
BOG10,NA
16_ZEN_2_N1,NA
13_VFC_1_N1,NA
AWP27,NA
16_VCC_4_N2,NA
16_PTR_5_N2,NA
BEL1,NA
BOG7,NA
WTB16,NA
SGR5,NA
16_ALP_109_N1,NA
16_AKC_14_N1,NA
03_V153408_N3,NA
16_DHS_23_N1,NA
16_DHS_24_N1,NA
16_UNA_1_A5,NA
16_MFM_107_N1,NA
STB7,NA
SWB19,NA
KIC2,NA
FGP1,NA
TAR3,NA
16_LAU_3_N1,NA
GEI11,NA
MIF1,NA
16_ALP_110_N1,NA
16_ICY_904_N1,NA
NFE2,NA
00_ATT_N1,NA
CLC3,NA
16_OSO_3_N1,NA
EAF3,NA
16_FPA_44_N1,NA
16_LAU_7_N1,NA
HEC20,NA
ALI8,NA
16_ANT_107_N1,NA
LCC1,NA
HAM19,NA
OPB29,NA
ICS24,NA
HAM6,NA
ASK4,NA
CLC4,NA
BEP1,NA
16_VAL_14_N1,NA
MCB2,NA
MCB4,NA
16_VAL_15_N1,NA
CDR2,NA
FEV11,NA
16_CTA_27_N1,NA
HOC17,NA
NFE3,NA
16_SZA_90_N1,NA
LOR17,NA
LMC22,NA
LMC12,NA
KLM23,NA
MIY2,NA
SWB38,NA
RFA12,NA
ALI5,NA
16_EBR_61_N1,NA
CAC1,NA
BSR26,NA
16_AMS_38_N1,NA
MED1,NA
HEC22,NA
ASK6,NA
16_DHS_22_A2,NA
OPB6,NA
16_ANT_102_N1,NA
16_OSO_4_N1,NA
GEI12,NA
CVG19,NA
LOR29,NA
16_FOS_10_N1,NA
16_ICY_903_N1,NA
LOR25,NA
OPB3,NA
SKZ38,NA
16_VCC_N1,NA
ORO51,NA
SHC1,NA
LCC3,NA
13_VFC_4_N1,NA
16_FPA_26_N1,NA
CRZ4,NA
16_DHS_22_N1_B,NA
16_EBR_59_N1,NA
FHS2,NA
AWP26,NA
TBR1,NA
WMO2,NA
OZF10,NA
FHS3,NA
16_KCG_37_N1,NA
16_VAT_3_N1,NA
16_ZEN_1_N1,NA
SVH5,NA
